,time
0,0.16724157333374023
1,0.16843581199645996
2,0.17330646514892578
3,0.17117595672607422
4,0.1780562400817871
5,0.1844170093536377
6,0.1676311492919922
7,0.16733670234680176
8,0.17668461799621582
9,0.18436837196350098
