,time
0,0.025327205657958984
1,0.024933815002441406
2,0.0249330997467041
3,0.026465892791748047
4,0.023211002349853516
5,0.02361583709716797
6,0.02331233024597168
7,0.023935794830322266
8,0.023060083389282227
9,0.02393627166748047
